dist_error,obstacle,pos_x
0,-3.14159265358979,0.25
0,-1.0471975511966,0.25
0,1.0471975511966,0.25
0,3.14159265358979,0.25
6.66666666666667,-3.14159265358979,0.5
6.66666666666667,-1.0471975511966,0.25
6.66666666666667,1.0471975511966,0.25
6.66666666666667,3.14159265358979,0.5
13.3333333333333,-3.14159265358979,1.0409452789337
13.3333333333333,-1.0471975511966,0.25
13.3333333333333,1.0471975511966,0.25
13.3333333333333,3.14159265358979,1.05820231270978
20,-3.14159265358979,1.03471053103087
20,-1.0471975511966,0.25
20,1.0471975511966,0.25
20,3.14159265358979,1.03774899289437
