orient_error,obstacle,pos_y
-3.16,-3.14159265358979,-0.456368899229179
-3.16,-1.0471975511966,0.464791573882753
-3.16,1.0471975511966,-0.45556665794731
-3.16,3.14159265358979,-0.413112244759464
-1.05333333333333,-3.14159265358979,-0.420153581126259
-1.05333333333333,-1.0471975511966,0.43145884707735
-1.05333333333333,1.0471975511966,-0.502739679517868
-1.05333333333333,3.14159265358979,-0.422025482637205
1.05333333333333,-3.14159265358979,0.425350116535846
1.05333333333333,-1.0471975511966,0.463861096172832
1.05333333333333,1.0471975511966,-0.467545331267303
1.05333333333333,3.14159265358979,0.43761882927191
3.16,-3.14159265358979,0.419374779541262
3.16,-1.0471975511966,0.4668861131624
3.16,1.0471975511966,-0.487629847171951
3.16,3.14159265358979,0.444599092425497
