dist_error,obstacle,linear_velocity
0,-3.14159265358979,0.186506139059241
0,-2.44346095279206,0.21049895153313
0,-1.74532925199433,0.201251114416259
0,-1.0471975511966,0.209446489389479
0,-0.349065850398866,0.199274103939363
0,0.349065850398866,0.192020254733706
0,1.0471975511966,0.189187087842853
0,1.74532925199433,0.191535000469005
0,2.44346095279206,0.206514453279697
0,3.14159265358979,0.189678053105401
4,-3.14159265358979,0.412867382676918
4,-2.44346095279206,0.415913943506378
4,-1.74532925199433,0.394367646428693
4,-1.0471975511966,0.418645785262459
4,-0.349065850398866,0.403062664555496
4,0.349065850398866,0.399779316753115
4,1.0471975511966,0.40637737512081
4,1.74532925199433,0.41258018831214
4,2.44346095279206,0.414836776226977
4,3.14159265358979,0.404793752255768
8,-3.14159265358979,0.620569364880555
8,-2.44346095279206,0.630473240111842
8,-1.74532925199433,0.626637416683149
8,-1.0471975511966,0.428366907169936
8,-0.349065850398866,0.42797815217501
8,0.349065850398866,0.431424727229208
8,1.0471975511966,0.411049156074646
8,1.74532925199433,0.631087153969896
8,2.44346095279206,0.627580978144022
8,3.14159265358979,0.629396381969903
12,-3.14159265358979,0.63552263514787
12,-2.44346095279206,0.638169664499831
12,-1.74532925199433,0.628807488173242
12,-1.0471975511966,0.431380302038443
12,-0.349065850398866,0.421803303242293
12,0.349065850398866,0.422808333694286
12,1.0471975511966,0.411148479934728
12,1.74532925199433,0.627249644447553
12,2.44346095279206,0.626321070321205
12,3.14159265358979,0.628701702018991
16,-3.14159265358979,0.631241398711589
16,-2.44346095279206,0.633195306607172
16,-1.74532925199433,0.62697928838063
16,-1.0471975511966,0.432894782382675
16,-0.349065850398866,0.432846875925168
16,0.349065850398866,0.417189413283772
16,1.0471975511966,0.41676870275
16,1.74532925199433,0.625490466857348
16,2.44346095279206,0.629447021724505
16,3.14159265358979,0.628340231832454
20,-3.14159265358979,0.632425683758215
20,-2.44346095279206,0.623249681948949
20,-1.74532925199433,0.63422892276313
20,-1.0471975511966,0.425991270093459
20,-0.349065850398866,0.445190902855848
20,0.349065850398866,0.431304634354407
20,1.0471975511966,0.413249642483487
20,1.74532925199433,0.628272603491679
20,2.44346095279206,0.629711161019995
20,3.14159265358979,0.627122184035057
