dist_error,obstacle,linear_velocity
0,-1.6,0.200893248955147
0,-1.3,0.216715165244297
0,-1,0.211030787574879
0,-0.5,0.192747237831506
0,-0.167,0.196471183799999
0,0.167,0.19477857941782
0,0.5,0.199624381135292
0,1,0.18606179647812
0,1.3,0.201475484727651
0,1.6,0.208234056691451
0.2,-1.6,0.269180702301057
0.2,-1.3,0.268263304251396
0.2,-1,0.262062552376884
0.2,-0.5,0.2602285922327
0.2,-0.167,0.251686230191254
0.2,0.167,0.257394842249109
0.2,0.5,0.271518562847635
0.2,1,0.260335953331045
0.2,1.3,0.26775983076395
0.2,1.6,0.264938054742929
0.4,-1.6,0.35971646504183
0.4,-1.3,0.365837534319837
0.4,-1,0.358725180550691
0.4,-0.5,0.366609991518685
0.4,-0.167,0.352435430001181
0.4,0.167,0.351872572716786
0.4,0.5,0.375831663456755
0.4,1,0.371863225065399
0.4,1.3,0.366014401228843
0.4,1.6,0.359793738494562
0.6,-1.6,0.408263891927906
0.6,-1.3,0.410922532427223
0.6,-1,0.400797813678049
0.6,-0.5,0.411034391387811
0.6,-0.167,0.406201320989809
0.6,0.167,0.410989251519085
0.6,0.5,0.402757479602546
0.6,1,0.398542070723103
0.6,1.3,0.405243069275812
0.6,1.6,0.402392172419956
2,-1.6,0.413404869891643
2,-1.3,0.40323387438788
2,-1,0.399975131384129
2,-0.5,0.408003101777272
2,-0.167,0.412747494549876
2,0.167,0.413351296580771
2,0.5,0.396075988089294
2,1,0.397293880192758
2,1.3,0.403715244840666
2,1.6,0.409925804333764
4.667,-1.6,0.408993019784966
4.667,-1.3,0.411969925772511
4.667,-1,0.407325780365401
4.667,-0.5,0.401243186657509
4.667,-0.167,0.403751875772259
4.667,0.167,0.403223074551995
4.667,0.5,0.404591807388878
4.667,1,0.419073570761927
4.667,1.3,0.398094399197893
4.667,1.6,0.420740622941247
7.333,-1.6,0.56608335094061
7.333,-1.3,0.473290313876131
7.333,-1,0.413187524633183
7.333,-0.5,0.428813262660671
7.333,-0.167,0.42993850649902
7.333,0.167,0.423692233233786
7.333,0.5,0.398064657429062
7.333,1,0.413775665006311
7.333,1.3,0.463361053948824
7.333,1.6,0.567959392235004
10,-1.6,0.619685618269042
10,-1.3,0.502304214198276
10,-1,0.425297058244954
10,-0.5,0.410058706778073
10,-0.167,0.454253556265464
10,0.167,0.452703306929772
10,0.5,0.407015029954141
10,1,0.415321548666125
10,1.3,0.497750911057105
10,1.6,0.62620700157842
