orient_error,obstacle,angular_velocity
-0.75,-1.6,-1.3064320822921
-0.75,-1.3,0.600339003324621
-0.75,-1,1.67617030887317
-0.75,-0.5,1.49671085829456
-0.75,-0.167,0.706133788448161
-0.75,0.167,-1.04492758825395
-0.75,0.5,-1.5307926304285
-0.75,1,-1.66203655045814
-0.75,1.3,-1.61267226324169
-0.75,1.6,-1.31741478276827
-0.535714285714286,-1.6,-0.894794764173909
-0.535714285714286,-1.3,0.829791398333933
-0.535714285714286,-1,1.47185834434211
-0.535714285714286,-0.5,1.59177995891328
-0.535714285714286,-0.167,0.92617726829127
-0.535714285714286,0.167,-0.773409693415747
-0.535714285714286,0.5,-1.58482086764548
-0.535714285714286,1,-1.49744419993709
-0.535714285714286,1.3,-1.4848223162491
-0.535714285714286,1.6,-1.02934605238419
-0.321428571428571,-1.6,-0.62588471056187
-0.321428571428571,-1.3,0.886539656733104
-0.321428571428571,-1,1.60262360054303
-0.321428571428571,-0.5,1.64741622797458
-0.321428571428571,-0.167,0.685364578219138
-0.321428571428571,0.167,-0.951458714388834
-0.321428571428571,0.5,-1.65641601208696
-0.321428571428571,1,-1.68866018809591
-0.321428571428571,1.3,-1.20274024113759
-0.321428571428571,1.6,-0.590738690499155
-0.107142857142857,-1.6,-0.031745181056503
-0.107142857142857,-1.3,1.06968238661607
-0.107142857142857,-1,1.6585520641088
-0.107142857142857,-0.5,1.59747226018952
-0.107142857142857,-0.167,0.755528878132609
-0.107142857142857,0.167,-0.710512996041422
-0.107142857142857,0.5,-1.67351090326732
-0.107142857142857,1,-1.42129369832784
-0.107142857142857,1.3,-1.08874541968363
-0.107142857142857,1.6,-0.0827359327630014
0.107142857142857,-1.6,0.191234631009714
0.107142857142857,-1.3,1.16731055011145
0.107142857142857,-1,1.55981769722675
0.107142857142857,-0.5,1.650976140612
0.107142857142857,-0.167,0.919793022196889
0.107142857142857,0.167,-0.793059473045909
0.107142857142857,0.5,-1.48421281653514
0.107142857142857,1,-1.59848577790359
0.107142857142857,1.3,-1.03249873473862
0.107142857142857,1.6,0.0244067256530227
0.321428571428571,-1.6,0.640680329303561
0.321428571428571,-1.3,1.26624772135153
0.321428571428571,-1,1.70169951351783
0.321428571428571,-0.5,1.52001506339118
0.321428571428571,-0.167,0.778794532924755
0.321428571428571,0.167,-0.784186211558292
0.321428571428571,0.5,-1.57781129841366
0.321428571428571,1,-1.45781241694056
0.321428571428571,1.3,-1.04405966295511
0.321428571428571,1.6,0.515431494128245
0.535714285714286,-1.6,0.892213558641674
0.535714285714286,-1.3,1.43779224415316
0.535714285714286,-1,1.56656017486773
0.535714285714286,-0.5,1.50491268647477
0.535714285714286,-0.167,0.783437959086827
0.535714285714286,0.167,-0.815189086542496
0.535714285714286,0.5,-1.67282094976883
0.535714285714286,1,-1.6156904171563
0.535714285714286,1.3,-0.778982577864491
0.535714285714286,1.6,0.88541935866387
0.75,-1.6,1.49830554674168
0.75,-1.3,1.61890541761413
0.75,-1,1.51578355719614
0.75,-0.5,1.66240095857687
0.75,-0.167,0.820866300985205
0.75,0.167,-0.907424384694399
0.75,0.5,-1.55581367532768
0.75,1,-1.53298096923952
0.75,1.3,-0.675740743789314
0.75,1.6,1.09901535788718
